timestamp,altitude,engine1_rpm,engine2_rpm,engine1_temp_C,engine2_temp_C,vibration_mm_s,fuel_flow_kg_h,oil_pressure_psi,heading_deg,hydraulic_pressure_psi,electrical_load_amp,cabin_pressure_ft,angle_of_attack_deg,flaps_deg,spoiler_percent
2025-09-05 08:15:00,0.0,9900.2,9733.9,792.9,768.4,1.36,3618.8,60.9,90.09,3034.4,181.6,0.0,9.0,14.9,0.0
2025-09-05 08:15:01,73.7,9772.3,9806.7,775.9,792.5,1.14,3862.6,57.2,90.04,3020.2,190.4,21.9,9.96,14.9,0.0
2025-09-05 08:15:02,145.6,9523.8,9755.8,794.2,797.7,1.16,3474.6,60.4,90.03,3041.2,189.3,0.0,9.32,14.9,0.0
2025-09-05 08:15:03,217.4,10098.6,9671.4,790.0,804.1,1.13,3550.3,57.4,89.98,3001.4,209.8,0.0,9.06,14.9,0.0
2025-09-05 08:15:04,291.4,9638.7,9716.7,786.3,790.4,1.24,3727.7,59.3,89.98,3060.0,202.2,0.0,9.15,14.7,0.0
2025-09-05 08:15:05,363.4,9827.0,9912.4,786.1,778.2,1.29,3729.3,59.5,90.03,3028.5,199.8,0.0,9.16,14.7,0.0
2025-09-05 08:15:06,438.5,9819.0,9894.9,801.2,794.4,1.31,3631.6,59.2,90.02,2895.2,187.2,62.7,8.77,14.7,0.0
2025-09-05 08:15:07,514.2,10024.9,10003.7,799.8,786.1,0.79,3963.9,60.7,89.99,3010.3,198.1,57.1,9.16,14.7,0.0
2025-09-05 08:15:08,583.6,9707.5,9497.2,801.8,777.7,0.93,3666.2,58.9,90.0,3043.6,206.5,0.0,9.31,14.5,0.0
2025-09-05 08:15:09,656.4,9956.4,9718.2,781.0,785.9,0.54,3699.0,62.4,90.08,3001.0,201.4,14.5,8.53,14.5,0.0
2025-09-05 08:15:10,731.7,9658.9,9714.5,784.4,797.6,1.39,3569.2,60.9,90.06,3083.6,210.4,70.7,9.0,14.4,0.0
2025-09-05 08:15:11,804.5,9975.8,9814.2,795.3,798.7,1.47,3905.7,61.7,90.02,2972.4,200.6,6.6,8.03,14.4,0.0
2025-09-05 08:15:12,877.0,9655.3,9708.1,780.5,795.3,1.52,3784.7,61.1,90.02,3039.4,206.8,4.1,8.42,14.2,0.0
2025-09-05 08:15:13,948.0,9723.4,9697.8,784.0,782.9,1.23,3717.6,61.3,90.07,2927.6,204.4,0.0,9.37,14.3,0.0
2025-09-05 08:15:14,1022.9,10107.3,9918.1,776.4,807.9,1.48,3407.9,60.0,90.03,2998.9,194.2,78.4,9.51,14.2,0.0
2025-09-05 08:15:15,1097.4,9838.9,9815.3,802.0,782.1,1.18,3710.1,62.8,90.02,2967.0,213.2,34.6,9.74,14.2,0.0
2025-09-05 08:15:16,1166.4,9803.7,9586.7,796.4,789.7,1.16,3584.7,58.5,89.95,2940.9,203.5,33.0,8.53,14.1,0.0
2025-09-05 08:15:17,1241.3,10166.1,10011.9,792.2,780.1,0.81,3714.5,60.7,89.95,2923.1,208.1,22.3,8.98,14.0,0.0
2025-09-05 08:15:18,1311.4,9846.4,9954.4,790.5,799.5,1.0,3793.1,60.0,89.94,3011.9,189.2,9.8,8.87,13.9,0.0
2025-09-05 08:15:19,1385.7,9646.3,9687.4,786.1,793.4,1.05,3542.1,59.7,89.92,3023.8,189.0,77.2,9.4,13.9,0.0
2025-09-05 08:15:20,1457.7,9909.9,9926.3,786.2,796.5,1.42,3687.9,60.5,90.01,2962.1,198.0,23.1,9.1,14.0,0.0
2025-09-05 08:15:21,1534.0,9584.1,9660.0,793.3,790.9,1.61,3787.7,59.0,90.02,2927.2,191.8,36.3,9.0,13.8,0.0
2025-09-05 08:15:22,1605.0,9976.8,9976.4,784.0,789.8,1.08,3679.7,61.2,89.98,2948.1,206.0,1.8,9.18,13.8,0.0
2025-09-05 08:15:23,1681.1,9990.0,9748.0,797.6,791.5,1.29,3605.5,61.1,90.03,3043.1,203.9,26.5,8.77,13.7,0.0
2025-09-05 08:15:24,1754.0,9687.6,9648.5,785.6,777.1,1.26,3495.3,60.1,90.03,2929.2,212.1,51.4,9.3,13.7,0.0
2025-09-05 08:15:25,1826.3,9678.3,9721.6,782.9,797.2,1.0,3554.2,61.0,90.01,3065.0,205.7,57.6,8.79,13.6,0.0
2025-09-05 08:15:26,1894.8,9815.0,9654.8,798.1,796.7,0.76,3463.5,58.6,89.95,2902.2,188.5,28.4,9.33,13.5,0.0
2025-09-05 08:15:27,1971.8,9787.4,9817.7,788.0,787.5,1.01,3804.0,57.5,90.07,3015.2,209.3,64.5,8.97,13.4,0.0
2025-09-05 08:15:28,2045.8,9618.8,9814.8,792.9,790.2,0.83,3670.7,59.2,90.06,3037.7,193.3,86.4,8.98,13.4,0.0
2025-09-05 08:15:29,2119.2,9881.6,9791.1,786.1,792.4,1.11,3471.7,59.7,89.98,3069.9,192.5,8.3,8.44,13.4,0.0
2025-09-05 08:15:30,2189.0,9437.9,9690.4,773.2,801.3,1.16,3654.2,63.5,90.08,2974.2,200.5,122.9,8.28,13.4,0.0
2025-09-05 08:15:31,2264.2,9711.4,9162.6,792.8,793.3,1.15,3460.4,59.7,90.01,2954.7,199.8,100.1,8.25,13.2,0.0
